Date,pm10,CO,SO2,NO2
2/18/1994,28,1.31542321,17.86380875,32.85783078
2/19/1994,28.01449275,1.332937016,13.36885791,27.44056967
2/20/1994,20,0.892426113,7.809091118,18.96749194
2/21/1994,15,1.213208758,7.130960316,23.56123194
2/22/1994,27,0.939358145,5.49884187,15.76093278
2/23/1994,17,0.727556129,3.993693744,14.76094861
2/24/1994,7,0.77718929,5.738352645,14.41846444
2/25/1994,19.515625,0.979344581,7.553433769,18.71576222
2/26/1994,17.5,0.927385267,7.92659259,13.88752011
2/27/1994,17,0.614697017,9.094043645,10.02438328
2/28/1994,22,0.755262226,9.141001615,15.17248856
3/1/1994,20,0.858374258,10.41712472,22.49006639
3/2/1994,8,0.735781274,7.136979103,14.73469211
3/3/1994,15.20967742,0.649790726,4.705047449,12.51273011
3/4/1994,19.12189804,0.773285726,7.757175038,19.53665933
3/5/1994,19.12189804,0.799790741,6.813278776,17.19659822
3/6/1994,19.12189804,0.851467259,5.806041427,17.52501006
3/7/1994,19.12189804,1.096896468,7.672524961,23.70529483
3/8/1994,19.12189804,1.153063758,10.08195713,23.63769639
3/9/1994,16.54545455,0.765461258,5.113655564,15.36840782
3/10/1994,17,0.859881306,7.562482539,18.35520941
3/11/1994,17,0.701291984,6.085540179,12.49564217
3/12/1994,25.5,0.766421581,7.059831359,16.42441633
3/13/1994,18,0.742394242,7.004476538,15.73025367
3/14/1994,15,1.104829903,7.868851282,25.07251228
3/15/1994,27.25373134,1.004453306,9.308276342,25.52965267
3/16/1994,26,0.756303266,6.433200346,13.734824
3/17/1994,19,0.745491672,6.311744667,14.13982394
3/18/1994,46,1.127023953,7.364821487,21.35543624
3/19/1994,30,0.790361159,7.114049382,13.79933929
3/20/1994,27,0.727242613,5.997006623,15.27218676
3/21/1994,17.98529412,0.844487226,5.149203321,19.07536753
3/22/1994,30,0.768923403,5.247819308,16.28949118
3/23/1994,35.5,0.967355172,8.636013064,22.80648882
3/24/1994,33,1.133772188,8.491266192,24.21242118
3/25/1994,15,0.947841859,5.783594872,16.90220194
3/26/1994,25,0.806542063,5.170567564,11.94300929
3/27/1994,19.38235294,0.681034355,3.961660295,13.84091012
3/28/1994,19,0.947386031,5.383723154,17.97433012
3/29/1994,13.5,0.918518156,5.328556359,17.22743482
3/30/1994,18.5,0.862973234,7.986230372,18.82331624
3/31/1994,25,1.062857047,6.591173895,23.27659461
4/1/1994,19.12189804,0.872228422,7.8305445,20.08704242
4/2/1994,24.66153846,0.925690516,4.696379736,18.07947168
4/3/1994,19.12189804,0.653759919,5.734421,12.27556253
4/4/1994,19.12189804,0.761550359,4.565083263,14.97180537
4/5/1994,28,0.847005453,5.860652141,18.73845358
4/6/1994,33,0.783122875,4.382060368,17.16369747
4/7/1994,21,0.777739578,5.281785342,12.19078337
4/8/1994,18.97058824,0.766188875,6.379162671,15.03735789
4/9/1994,22,0.599224344,4.708400368,12.70382239
4/10/1994,22,0.558438063,3.473145605,9.844154
4/11/1994,24,0.652594063,4.749100171,14.53973647
4/12/1994,24,0.689366406,4.341172079,15.31117305
4/13/1994,21,0.764372281,3.45755959,13.845678
4/14/1994,22.54545455,0.86136825,5.567711692,16.7286148
4/15/1994,36,0.803358078,6.396261333,17.0834846
4/16/1994,20,0.570725078,2.870549289,8.91944095
4/17/1994,18,0.649390645,4.028963737,10.7689131
4/18/1994,25,0.830304113,4.363850066,14.0518517
4/19/1994,24,0.792791323,5.616403654,16.8520606
4/20/1994,19.21538462,0.731877387,4.718975461,13.36957485
4/21/1994,23.5,0.765764952,4.192488846,16.29686632
4/22/1994,27,0.896636984,3.825145436,14.75040983
4/23/1994,24,0.887920758,4.831937346,16.0760165
4/24/1994,28,0.730682806,6.189312947,13.72940811
